mpiexec -n 4 prim01 graphs/nodes50edges100.csv
nodes-50,edges-49,weights
0,3,1
0,34,1
3,48,2
34,6,3
6,41,2
6,43,2
43,9,1
9,31,1
9,39,2
41,11,3
41,33,3
33,8,2
33,24,3
24,37,3
37,16,1
16,4,2
4,23,1
37,19,2
31,40,3
40,7,3
7,49,3
49,46,2
49,47,2
47,38,1
49,13,3
13,25,2
37,14,4
49,36,4
36,21,1
36,30,2
21,32,2
30,1,3
36,18,4
18,28,2
24,42,4
21,17,5
17,15,5
42,29,5
29,20,2
20,26,2
29,44,2
20,2,4
8,35,5
31,5,6
11,27,6
34,45,6
45,12,4
12,22,4
22,10,1
