mpiexec -n 3 prim01 graphs/nodes20edges50.csv
nodes-20,edges-19,weights
0,16,2
16,3,3
3,18,1
18,2,1
2,1,1
2,14,1
2,11,2
11,4,1
4,8,3
8,9,1
8,12,1
18,10,3
14,15,3
11,5,4
5,6,1
6,13,2
5,7,3
0,17,6
17,19,4
